id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37822569,Neubau - Wohnung mit Klimaanlage,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.11174,11.617343,Entire home/apt,999,25,17,2021-11-25,0.46,33,0,4,
37824450,"Bright, spacious and authentic Munich Studio",286297645,Elizabeth,,Neuhausen-Nymphenburg,48.15185,11.53921,Entire home/apt,105,2,7,2019-10-24,0.19,1,0,0,
37826851,Cozy & large apartment in front of the Isar River,266935800,Tatiane,,Ludwigsvorstadt-Isarvorstadt,48.12199,11.56253,Entire home/apt,85,3,2,2020-01-04,0.05,1,0,0,
37856766,Rosa,286712526,Cami-Rosa,,Maxvorstadt,48.15591,11.56628,Private room,81,1,44,2022-09-17,1.20,1,25,35,
37858503,Nice Room for one,150161997,Ovidiu,,Bogenhausen,48.14081,11.61388,Private room,100,3,33,2022-03-29,0.91,2,317,8,
37873437,Munich Haidhausen Apartment 1.5 rooms carparking,5907773,Volker,,Au-Haidhausen,48.12811,11.58817,Entire home/apt,150,14,6,2022-08-20,0.25,1,152,5,
37880285,Lovely central studio in the heart of Munich,10412701,Gian,,Maxvorstadt,48.14773,11.57449,Entire home/apt,291,2,28,2021-11-25,0.74,1,5,7,
37890693,COZY APARTMENT CLOSE TO OLYMPIC PARK,287032828,Aaron,,Milbertshofen-Am Hart,48.1801,11.57055,Entire home/apt,96,2,3,2019-12-28,0.08,1,0,0,
37893632,Appartment zentral Implerstraße (direkt an U3/U6),59716430,Astrid,,Sendling,48.12095,11.55127,Entire home/apt,141,4,6,2022-07-01,0.17,1,0,3,
37894746,APARTMENT IN CENTRAL AREA - CLOSE TO EVERYTHING,287060578,Gottfried,,Schwabing-Freimann,48.16,11.58095,Entire home/apt,96,2,21,2020-07-15,0.56,1,0,0,
37897202,"CLOSE TO OKTOBERFEST,2 Room, COZY,FRIENDLY,ZENTRAL",97102428,Daniel,,Sendling-Westpark,48.12794,11.53216,Entire home/apt,173,3,49,2022-09-09,1.32,1,63,15,
37898454,Spacious room - close to Oktoberfest and downtown,38529059,Doris,,Ludwigsvorstadt-Isarvorstadt,48.12963,11.56418,Private room,180,3,2,2022-09-18,0.05,1,158,1,
37900070,Munich Germany accomodation private,287099147,Henrik,,Aubing-Lochhausen-Langwied,48.15153,11.43924,Private room,180,8,0,,,1,365,0,
37900134,Moderne 90 qm Wohnung im Herzen Münchens,63094306,Paul,,Sendling,48.11634,11.55219,Entire home/apt,500,1,0,,,1,174,0,
37900538,APARTMENT NEAR THE OCTOBERFEST,287102402,Mathias,,Sendling,48.12371,11.54364,Entire home/apt,96,2,4,2019-10-03,0.11,1,0,0,
37908023,Lovely Designer-Flat in Central Munich,264240646,Julia,,Maxvorstadt,48.15154384618516,11.560116757400392,Entire home/apt,135,3,30,2022-09-19,0.82,1,0,13,
37925974,The Suite 98-Munich East,43154466,Pardman,,Tudering-Riem,48.11753,11.65978,Private room,65,1,4,2019-12-06,0.11,1,48,0,
37931015,Stylish Apartment - 30 Minutes from OKTOBERFEST,25183990,Reda,,Bogenhausen,48.16184,11.64221,Private room,100,8,1,2019-09-22,0.03,2,16,0,
37939918,Guest Room at Muenchner Freiheit,287536823,Siegmar,,Schwabing-Freimann,48.16253,11.58817,Private room,42,21,28,2022-09-12,0.77,2,112,9,
37951410,Gemütliches Zimmer nähe BMW,286887215,Lulit,,Milbertshofen-Am Hart,48.18438,11.57343,Private room,35,2,10,2021-08-28,0.27,2,0,0,
37959122,Großes Privatzimmer mit Balkon- München Schwabing,25778874,Herbert,,Schwabing-Freimann,48.16962286353568,11.589474213624776,Private room,173,2,0,,,1,6,0,
37968108,4 Zimmer Wohnung  München Messe / Expo-Real,19891706,Ralf,,Tudering-Riem,48.13232733091382,11.683955421787482,Entire home/apt,500,7,0,,,1,80,0,
